
Going to calculate the following Fibonacci numbers (#:trials-number):
#0:1-10   #1:50-5   #2:40-43   #3:50-10   
Participating SHORTs:
#0:1366   #1:1367   #2:1368   #3:1369   
START PRINTING 150 SWITCHES:
===================================================================
     PREV-PID - NEXT-PID - PREV-POL - NEXT-POL -   TIME   -  REASON
129:    1371  |    1372  |    SHORT |    SHORT |  397320  | OUT OF TIME
130:    1372  |    1370  |    SHORT |       RT |  397320  | ENDED
131:    1370  |    1373  |       RT |    SHORT |  397320  | STARTED WAITING
132:    1373  |    1370  |    SHORT |       RT |  397320  | ENDED
133:    1370  |    1371  |       RT |    SHORT |  397320  | STARTED WAITING
134:    1371  |     988  |    SHORT |    OTHER |  397362  | OVERDUE
135:     988  |    1101  |    OTHER |    OTHER |  397362  | STARTED WAITING
136:    1101  |     988  |    OTHER |    OTHER |  397362  | HIGHER PRIO ARRIVED
137:     988  |    1101  |    OTHER |    OTHER |  397362  | STARTED WAITING
138:    1101  |      16  |    OTHER |    OTHER |  397362  | STARTED WAITING
139:      16  |    1105  |    OTHER |    OTHER |  397362  | STARTED WAITING
140:    1105  |     988  |    OTHER |    OTHER |  397362  | HIGHER PRIO ARRIVED
141:     988  |    1105  |    OTHER |    OTHER |  397362  | STARTED WAITING
142:    1105  |     988  |    OTHER |    OTHER |  397362  | HIGHER PRIO ARRIVED
143:     988  |    1105  |    OTHER |    OTHER |  397362  | STARTED WAITING
144:    1105  |     427  |    OTHER |    OTHER |  397362  | STARTED WAITING
145:     427  |    1097  |    OTHER |    OTHER |  397362  | STARTED WAITING
146:    1097  |    1064  |    OTHER |    OTHER |  397362  | STARTED WAITING
147:    1064  |    1374  |    OTHER |    OTHER |  397362  | STARTED WAITING
148:    1374  |    1371  |    OTHER |    SHORT |  397362  | STARTED WAITING
149:    1371  |    1370  |    SHORT |       RT |  408306  | ENDED
===================================================================
END PRINT


Going to calculate the following Fibonacci numbers (#:trials-number):
#0:44-10   #1:43-20   #2:2-25   #3:3-30   #4:50-35   #5:4-40   #6:5-45   
Participating SHORTs:
#0:1378   #1:1379   #2:1380   #3:1381   #4:1382   #5:1383   #6:1384   
START PRINTING 150 SWITCHES:
===================================================================
     PREV-PID - NEXT-PID - PREV-POL - NEXT-POL -   TIME   -  REASON
  0:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
  1:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
  2:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
  3:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
  4:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
  5:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
  6:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
  7:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
  8:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
  9:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
 10:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
 11:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
 12:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
 13:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
 14:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
 15:    1006  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
 16:     988  |    1006  |    OTHER |    OTHER |  397268  | STARTED WAITING
 17:    1006  |    1082  |    OTHER |    OTHER |  397268  | STARTED WAITING
 18:    1082  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
 19:     988  |    1082  |    OTHER |    OTHER |  397268  | STARTED WAITING
 20:    1082  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
 21:     988  |    1082  |    OTHER |    OTHER |  397268  | STARTED WAITING
 22:    1082  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
 23:     988  |    1082  |    OTHER |    OTHER |  397268  | STARTED WAITING
 24:    1082  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
 25:     988  |    1082  |    OTHER |    OTHER |  397268  | STARTED WAITING
 26:    1082  |     988  |    OTHER |    OTHER |  397268  | HIGHER PRIO ARRIVED
 27:     988  |    1082  |    OTHER |    OTHER |  397268  | STARTED WAITING
 28:    1370  |    1371  |       RT |    SHORT |  397269  | STARTED WAITING
 29:    1371  |    1372  |    SHORT |    SHORT |  397320  | OUT OF TIME
 30:    1372  |    1370  |    SHORT |       RT |  397320  | ENDED
